value,synonyms,entity
DE MELO MARCELINO Amélia,De:Melo:Marcelino:Amelia,Candidat_GC
BOUZID Mohamed,Bouzid:Mohamed,Candidat_GC
BOUJEMAA Sanae,Boujemaa:Sanae,Candidat_GC
GALLAND Eduardo,Galland:Eduardo,Candidat_GC
JELK Andrée,Jelk:Andree,Candidat_GC
CASTRO Gloria,Castro:Gloria,Candidat_GC
CAMELO Alfredo,Camelo:Alfredo,Candidat_GC
NOETZLIN Simon,Noetzlin:Simon,Candidat_GC
DURAKU Fitore,Duraku:Fitore,Candidat_GC
DURAKU Edon,Duraku:Edon,Candidat_GC
FERREIRA Elisabeth,Ferreira:Elisabeth,Candidat_GC
CHRISTINAT Jean-David,Christinat:Jean David,Candidat_GC
GERARDO FÉLIZ GRUBI Ynes,Gerardo:Feliz:Grubi:Ynes,Candidat_GC
CARLO Xavier,Carlo:Xavier,Candidat_GC
SAHIN Gazi,Sahin:Gazi,Candidat_GC
HODGERS Antonio,Hodgers:Antonio,Candidat_CE_GC
DE CHASTONAY Marjorie,De:Chastonay:Marjorie,Candidat_CE_GC
ROCHAT Yvan,Rochat:Yvan,Candidat_CE_GC
PERLER Frédérique,Perler:Frederique,Candidat_GC
BUSCHBECK Mathias,Buschbeck:Mathias,Candidat_GC
LEFORT François,Lefort:François,Candidat_GC
LEONELLI Katia,Leonelli:Katia,Candidat_GC
MACCHIAVELLI Marta,Macchiavelli:Marta,Candidat_GC
MAKOSSO William,Makosso:William,Candidat_GC
MARTIN David,Martin:David,Candidat_GC
MÜLLER SONTAG Corinne,Muller:Sontag:Corinne,Candidat_GC
NICOLET-DIT-FELIX Julien,Nicolet Dit Felix:Julien,Candidat_GC
NOËL Philippe,Noël:Philippe,Candidat_GC
ORIOLO Alessandra,Oriolo:Alessandra,Candidat_GC
OZTÜRK Dilara,Ozturk:Dilara,Candidat_GC
PASQUIER Isabelle,Pasquier:Isabelle,Candidat_GC
POGET Philippe,Poget:Philippe,Candidat_GC
QUIJANO GARCIA Maria,Quijano:Garcia:Maria,Candidat_GC
RODRIGUEZ Mario,Rodriguez:Mario,Candidat_GC
ROGG Catharina,Rogg:Catharina,Candidat_GC
ROSSIAUD Jean,Rossiaud:Jean,Candidat_GC
SAA BAUD Yubitza,Saa:Baud:Yubitza,Candidat_GC
SCHALK Antoine,Schalk:Antoine,Candidat_GC
SCHAUFELBERGER Esther,Schaufelberger:Esther,Candidat_GC
SORDET Adrienne,Sordet:Adrienne,Candidat_GC
TALEGHANI Majid,Taleghani:Majid,Candidat_GC
TCHAMKERTEN Jolanka,Tchamkerten:Jolanka,Candidat_GC
TIGUEMOUNINE Sabine,Tiguemounine:Sabine,Candidat_GC
TINGUELY Dominique,Tinguely:Dominique,Candidat_GC
TSCHUDI Paloma,Tschudi:Paloma,Candidat_GC
VAN WOERDEN Wendy,Van:Woerden:Wendy,Candidat_GC
VEIGA ARIAS Damian,Veiga:Arias:Damian,Candidat_GC
WISARD PRADO Leyma,Wisard:Prado:Leyma,Candidat_GC
YUNUS EBENER Mariam,Yunus:Ebener:Mariam,Candidat_GC
AMATO Maurice,Amato:Maurice,Candidat_GC
AMSELLEM Benedicte,Amsellem:Benedicte,Candidat_GC
ARDIZZONE Ivan,Ardizzone:Ivan,Candidat_GC
AZZABI Omar,Azzabi:Omar,Candidat_GC
BÄNZIGER Ruth,Banziger:Ruth,Candidat_GC
BARCIELA VILLAR Ana,Barciela:Villar:Ana,Candidat_GC
BAVAREL Christian,Bavarel:Christian,Candidat_GC
BOCCARD Damien,Boccard:Damien,Candidat_GC
BONNY Didier,Bonny:Didier,Candidat_GC
BONVIN BONFANTI Anne,Bonvin:Bonfanti:Anne,Candidat_GC
BUCHER Denis,Bucher:Denis,Candidat_GC
BUENZOD Christian,Buenzod:Christian,Candidat_GC
BUI Aurore,Bui:Aurore,Candidat_GC
CABITZA Marina,Cabitza:Marina,Candidat_GC
CALAME Boris,Calame:Boris,Candidat_GC
CALAME Fabrice,Calame:Fabrice,Candidat_GC
CHAUDIEU Anne,Chaudieu:Anne,Candidat_GC
CONCHA Celtia,Concha:Celtia,Candidat_GC
CORPATAUX Laurence,Corpataux:Laurence,Candidat_GC
DALPHIN Marc,Dalphin:Marc,Candidat_GC
DE FELICE Nicolas,De:Felice:Nicolas,Candidat_GC
DE MAIO Sara,De:Maio:Sara,Candidat_GC
DE MATTEIS Yves,De:Matteis:Yves,Candidat_GC
DE ROUGEMONT Philippe,De:Rougemont:Philippe,Candidat_GC
DESBIOLLES Sophie,Desbiolles:Sophie,Candidat_GC
DESCOMBES Isabelle,Descombes:Isabelle,Candidat_GC
DUJOUX Valentin,Dujoux:Valentin,Candidat_GC
DUPUIS Renaud,Dupuis:Renaud,Candidat_GC
EBENER Christophe,Ebener:Christophe,Candidat_GC
ECKERT Pierre,Eckert:Pierre,Candidat_GC
FISCHER Fabienne,Fischer:Fabienne,Candidat_GC
FREYMOND Pascal,Freymond:Pascal,Candidat_GC
GEOFFROY Elias,Geoffroy:Elias,Candidat_GC
GOMEZ Alfonso,Gomez:Alfonso,Candidat_GC
HAAS François,Haas:François,Candidat_GC
HARTMANN Esther,Hartmann:Esther,Candidat_GC
HEBERLEIN SIMONETT Claudia,Heberlein:Simonett:Claudia,Candidat_GC
HERREN Yves,Herren:Yves,Candidat_GC
KHAMIS VANNINI Uzma,Khamis:Vannini:Uzma,Candidat_GC
KLOPFENSTEIN BROGGINI Delphine,Klopfenstein:Broggini:Delphine,Candidat_GC
KÜNDIG Ralph,Kundig:Ralph,Candidat_GC
LATOUR Sabine,Latour:Sabine,Candidat_GC
EMERY-TORRACINTA Anne,Emery Torracinta:Anne,Candidat_CE_GC
APOTHÉLOZ Thierry,Apotheloz:Thierry,Candidat_CE_GC
SALERNO Sandrine,Salerno:Sandrine,Candidat_CE_GC
DE SAINTE-MARIE Romain,De:Sainte Marie:Romain,Candidat_GC
KAST Carole-Anne,Kast:Carole Anne,Candidat_GC
WENGER Thomas,Wenger:Thomas,Candidat_GC
MARTI Caroline,Marti:Caroline,Candidat_GC
BANDLER Marko,Bandler:Marko,Candidat_GC
MOYARD MIZRAHI Salima,Moyard:Mizrahi:Salima,Candidat_GC
DANDRÈS Christian,Dandres:Christian,Candidat_GC
VERISSIMO DE FREITAS Helena,Verissimo:De:Freitas:Helena,Candidat_GC
CARASSO Grégoire,Carasso:Gregoire,Candidat_GC
SOBANEK Marion,Sobanek:Marion,Candidat_GC
THÉVOZ Sylvain,Thevoz:Sylvain,Candidat_GC
CONTI Jennifer,Conti:Jennifer,Candidat_GC
STAUB Martin,Staub:Martin,Candidat_GC
VALIQUER GRECUCCIO Nicole,Valiquer:Grecuccio:Nicole,Candidat_GC
RIELLE Jean Charles,Rielle:Jean:Charles,Candidat_GC
GAVILANES Amanda,Gavilanes:Amanda,Candidat_GC
MIZRAHI Cyril,Mizrahi:Cyril,Candidat_GC
CASARES Maria Jesus,Casares:Maria:Jesus,Candidat_GC
POMATTO Michel,Pomatto:Michel,Candidat_GC
STRASSER Léna,Strasser:Lena,Candidat_GC
KOKOT Guilhem,Kokot:Guilhem,Candidat_GC
ROMANO Maria,Romano:Maria,Candidat_GC
MUSSA Ahmed,Mussa:Ahmed,Candidat_GC
OSMANI Xhevrie,Osmani:Xhevrie,Candidat_GC
ESTEBAN Diego,Esteban:Diego,Candidat_GC
BAILLON Glenna,Baillon:Glenna,Candidat_GC
EYA NCHAMA Cruz Melchor,Eya:Nchama:Cruz:Melchor,Candidat_GC
BRANDRUP Gladys,Brandrup:Gladys,Candidat_GC
CHIARADONNA Denis,Chiaradonna:Denis,Candidat_GC
LÜTHI Badia,Luthi:Badia,Candidat_GC
CLEMENCE Nicolas,Clemence:Nicolas,Candidat_GC
VATRE Patricia,Vatre:Patricia,Candidat_GC
ZIMMERMANN Michel,Zimmermann:Michel,Candidat_GC
VIRET Dora,Viret:Dora,Candidat_GC
VELASCO Alberto,Velasco:Alberto,Candidat_GC
FABRE Michel,Fabre:Michel,Candidat_GC
DE BATTISTA Regis,De:Battista:Regis,Candidat_GC
DEONNA Emmanuel,Deonna:Emmanuel,Candidat_GC
TOMBOLA Jean-Pierre,Tombola:Jean Pierre,Candidat_GC
KEEL Theo,Keel:Theo,Candidat_GC
LAPALUD Patrick,Lapalud:Patrick,Candidat_GC
BARRY Thierno,Barry:Thierno,Candidat_GC
HALIMI Hysri,Halimi:Hysri,Candidat_GC
GAJARDO MUNOZ Jorge,Gajardo:Munoz:Jorge,Candidat_GC
ALONSO UNICA Manuel,Alonso:Unica:Manuel,Candidat_GC
BALDINI Frédéric,Baldini:Frederic,Candidat_GC
BRUCHEZ Thomas,Bruchez:Thomas,Candidat_GC
BENDA Benjamin,Benda:Benjamin,Candidat_GC
BURKHARD Roland,Burkhard:Roland,Candidat_GC
BOSSHARD Pierre Yves,Bosshard:Pierre:Yves,Candidat_GC
KURTESHI Ismet,Kurteshi:Ismet,Candidat_GC
MAUDET Pierre,Maudet:Pierre,Candidat_CE_GC
FONTANET Nathalie,Fontanet:Nathalie,Candidat_CE_GC
DE SENARCLENS Alexandre,De:Senarclens:Alexandre,Candidat_CE_GC
DE MONTMOLLIN Simone,De:Montmollin:Simone,Candidat_GC
MOREL Philippe,Morel:Philippe,Candidat_GC
PUTALLAZ Jean,Putallaz:Jean,Candidat_GC
SAUDAN Patrick,Saudan:Patrick,Candidat_GC
SELLEGER Charles,Selleger:Charles,Candidat_GC
UEHLINGER Pascal,Uehlinger:Pascal,Candidat_GC
VUILLOD Georges,Vuillod:Georges,Candidat_GC
WICKY Raymond,Wicky:Raymond,Candidat_GC
ZUBER Céline,Zuber:Celine,Candidat_GC
ZWEIFEL Yvan,Zweifel:Yvan,Candidat_GC
AELLEN Cyril,Aellen:Cyril,Candidat_GC
ALDER Murat Julian,Alder:Murat:Julian,Candidat_GC
BARBEY Alexis,Barbey:Alexis,Candidat_GC
BARDE Antoine,Barde:Antoine,Candidat_GC
BÉNÉ Jacques,Bene:Jacques,Candidat_GC
DE CANDOLLE Beatriz,De:Candolle:Beatriz,Candidat_GC
CONNE Pierre,Conne:Pierre,Candidat_GC
CUENDET Edouard,Cuendet:Edouard,Candidat_GC
HARDYN Nathalie,Hardyn:Nathalie,Candidat_GC
HILTPOLD Serge,Hiltpold:Serge,Candidat_GC
MALEK-ASGHAR Patrick,Malek Asghar:Patrick,Candidat_GC
MONBARON Fabienne,Monbaron:Fabienne,Candidat_GC
MORAND Louise,Morand:Louise,Candidat_GC
NICOLLIER Pierre,Nicollier:Pierre,Candidat_GC
OPPLIGER Danielle,Oppliger:Danielle,Candidat_GC
ORSINI Antoine,Orsini:Antoine,Candidat_GC
PASQUIER Jean-Pierre,Pasquier:Jean Pierre,Candidat_GC
PATEK Serge,Patek:Serge,Candidat_GC
DE PLANTA Francine,De:Planta:Francine,Candidat_GC
RANA ZOLANA Ginior,Rana:Zolana:Ginior,Candidat_GC
RIGOTTI Maria,Rigotti:Maria,Candidat_GC
ROULLET Michèle,Roullet:Michele,Candidat_GC
SCHALLER Vincent,Schaller:Vincent,Candidat_GC
SCHNEEBELI Roland-Daniel,Schneebeli:Roland Daniel,Candidat_GC
SENGLET Christophe,Senglet:Christophe,Candidat_GC
SERRANO Philippe,Serrano:Philippe,Candidat_GC
SOMMER Monika,Sommer:Monika,Candidat_GC
STEINER Matthieu,Steiner:Matthieu,Candidat_GC
SUBILIA Vincent,Subilia:Vincent,Candidat_GC
TABOADA Francisco,Taboada:Francisco,Candidat_GC
TSCHOPP Laurent,Tschopp:Laurent,Candidat_GC
WAVRE Rolin,Wavre:Rolin,Candidat_GC
WICKI Guy,Wicki:Guy,Candidat_GC
WOLFISBERG François,Wolfisberg:François,Candidat_GC
AGRAMUNT Gian-Reto,Agramunt:Gian Reto,Candidat_GC
APOTHÉLOZ Jacques,Apotheloz:Jacques,Candidat_GC
AUBERT Nicolas,Aubert:Nicolas,Candidat_GC
BARBIER-MUELLER Diane,Barbier Mueller:Diane,Candidat_GC
BELLINGERI Stefano Vito,Bellingeri:Stefano:Vito,Candidat_GC
BERSIER Julie,Bersier:Julie,Candidat_GC
BLANCH Richard-Pascal,Blanch:Richard Pascal,Candidat_GC
BÖHLER Frances,Bohler:Frances,Candidat_GC
BOUVIER Christine,Bouvier:Christine,Candidat_GC
BRANDT Simon,Brandt:Simon,Candidat_GC
BRON Gilles-Olivier,Bron:Gilles Olivier,Candidat_GC
BRUNEL Mayori,Brunel:Mayori,Candidat_GC
BURRI Rémy,Burri:Remy,Candidat_GC
CORNU Renate,Cornu:Renate,Candidat_GC
CREFFIELD Conrad,Creffield:Conrad,Candidat_GC
DAHER Vincent,Daher:Vincent,Candidat_GC
DÉROBERT Thierry,Derobert:Thierry,Candidat_GC
DESFAYES Natacha,Desfayes:Natacha,Candidat_GC
DOUZALS Jacques,Douzals:Jacques,Candidat_GC
FISS Joëlle,Fiss:Joëlle,Candidat_GC
GENECAND Adrien,Genecand:Adrien,Candidat_GC
GIACOBINO Donata,Giacobino:Donata,Candidat_GC
GRAND Eric,Grand:Eric,Candidat_GC
GROGNUZ Fabien,Grognuz:Fabien,Candidat_GC
JAY Sylvie,Jay:Sylvie,Candidat_GC
JUD Philippe,Jud:Philippe,Candidat_GC
KÄMPFEN Véronique,Kampfen:Veronique,Candidat_GC
LÄMMEL Valérie,Lammel:Valerie,Candidat_GC
LEISER Jean-Marc,Leiser:Jean Marc,Candidat_GC
LOCHER Jean,Locher:Jean,Candidat_GC
LUZZATTO Christine,Luzzatto:Christine,Candidat_GC
MESSERLI Marie-Claire,Messerli:Marie Claire,Candidat_GC
MEYER Philippe,Meyer:Philippe,Candidat_GC
BARTHASSAT Luc,Barthassat:Luc,Candidat_CE_GC
DAL BUSCO Serge,Dal:Busco:Serge,Candidat_CE_GC
BUCHS Bertrand,Buchs:Bertrand,Candidat_GC
AEBI Benjamin,Aebi:Benjamin,Candidat_GC
ANGELOZZI Philippe,Angelozzi:Philippe,Candidat_GC
VON ARX-VERNON Anne-Marie,Von:Arx Vernon:Anne Marie,Candidat_GC
BACHMANN Delphine,Bachmann:Delphine,Candidat_GC
BIDAUX Patricia,Bidaux:Patricia,Candidat_GC
BLONDIN Jacques,Blondin:Jacques,Candidat_GC
BOCQUET Claude,Bocquet:Claude,Candidat_GC
BOURBALA Djamel,Bourbala:Djamel,Candidat_GC
BOUVIER Jérémy,Bouvier:Jeremy,Candidat_GC
BUGNION Jean-Michel,Bugnion:Jean Michel,Candidat_GC
CASUTT Martine,Casutt:Martine,Candidat_GC
CERUTTI Olivier,Cerutti:Olivier,Candidat_GC
CHAKER MANGEAT Alia,Chaker:Mangeat:Alia,Candidat_GC
CHEVALIER Alexandre,Chevalier:Alexandre,Candidat_GC
DECREY Christophe,Decrey:Christophe,Candidat_GC
DELUERMOZ Cosima,Deluermoz:Cosima,Candidat_GC
DESFAYES Sébastien,Desfayes:Sebastien,Candidat_GC
DULEX Christophe,Dulex:Christophe,Candidat_GC
DUPONT Thérèse,Dupont:Therese,Candidat_GC
ENGELBERTS Marie-Thérèse,Engelberts:Marie Therese,Candidat_GC
FISCHER Daniel,Fischer:Daniel,Candidat_GC
FORNI Jean-Luc,Forni:Jean Luc,Candidat_GC
FOURNIER Nicolas,Fournier:Nicolas,Candidat_GC
FRISCHKNECHT Catherine,Frischknecht:Catherine,Candidat_GC
GACHE Hélène,Gache:Helene,Candidat_GC
GASHI Sami,Gashi:Sami,Candidat_GC
GIANNASI Anthony,Giannasi:Anthony,Candidat_GC
GIANNELLI Mark,Giannelli:Mark,Candidat_GC
GIORIA Gaëlle,Gioria:Gaëlle,Candidat_GC
GUINCHARD Jean-Marc,Guinchard:Jean Marc,Candidat_GC
DE KALBERMATTEN Alain,De:Kalbermatten:Alain,Candidat_GC
KHATTABI HASSAR Houda,Khattabi:Hassar:Houda,Candidat_GC
KUNZ Laurence,Kunz:Laurence,Candidat_GC
LANCE François,Lance:François,Candidat_GC
LATHION Jean Charles,Lathion:Jean:Charles,Candidat_GC
LEHNER Laurent,Lehner:Laurent,Candidat_GC
LUPO Paolo,Lupo:Paolo,Candidat_GC
MAGNIN Xavier,Magnin:Xavier,Candidat_GC
MAGNIN Yves,Magnin:Yves,Candidat_GC
MAITRE Vincent,Maitre:Vincent,Candidat_GC
MAKKI Michela,Makki:Michela,Candidat_GC
MEISSNER REYFER Christine,Meissner:Reyfer:Christine,Candidat_GC
MERLE Emmanuelle,Merle:Emmanuelle,Candidat_GC
METTAN Guy,Mettan:Guy,Candidat_GC
MEYER DE STADELHOFEN Philippe,Meyer:De:Stadelhofen:Philippe,Candidat_GC
MONDOUX Alexandre,Mondoux:Alexandre,Candidat_GC
MORONI Catherine,Moroni:Catherine,Candidat_GC
NEUDER Isabelle,Neuder:Isabelle,Candidat_GC
OUEDRAOGO Moustapha,Ouedraogo:Moustapha,Candidat_GC
PERRET Vincent,Perret:Vincent,Candidat_GC
PFEIFFER Alex,Pfeiffer:Alex,Candidat_GC
PROGIN Christian,Progin:Christian,Candidat_GC
PUTALLAZ Thomas,Putallaz:Thomas,Candidat_GC
RASOLO Daniel,Rasolo:Daniel,Candidat_GC
RUCHET Philippe,Ruchet:Philippe,Candidat_GC
RYS Alexandra,Rys:Alexandra,Candidat_GC
SAUDAN Guy,Saudan:Guy,Candidat_GC
SAYEGH Souheil,Sayegh:Souheil,Candidat_GC
SCANDURRA Alessandro,Scandurra:Alessandro,Candidat_GC
SCHMIED Patrick,Schmied:Patrick,Candidat_GC
SCHRAG Sylvianne,Schrag:Sylvianne,Candidat_GC
SIMOES Jose,Simoes:Jose,Candidat_GC
SOPI Dardan,Sopi:Dardan,Candidat_GC
SQUILLACI Nicola,Squillaci:Nicola,Candidat_GC
STEINBERG CANDRIAN Melinda,Steinberg:Candrian:Melinda,Candidat_GC
TOMASSI Christine,Tomassi:Christine,Candidat_GC
TREMBLET Laurent,Tremblet:Laurent,Candidat_GC
UONG Dinh Manh,Uong:Dinh:Manh,Candidat_GC
VÖLKI Robert,Volki:Robert,Candidat_GC
VUARNOZ Emanuela,Vuarnoz:Emanuela,Candidat_GC
WEHRLI Patrick,Wehrli:Patrick,Candidat_GC
ZIMMERMANN Luc,Zimmermann:Luc,Candidat_GC
ZIMMERMANN Bertrand,Zimmermann:Bertrand,Candidat_GC
NIDEGGER Yves,Nidegger:Yves,Candidat_CE_GC
BLÄSI Thomas,Blasi:Thomas,Candidat_CE_GC
FLOREY Stéphane,Florey:Stephane,Candidat_CE_GC
LEYVRAZ Eric,Leyvraz:Eric,Candidat_GC
FUHRMANN Marc,Fuhrmann:Marc,Candidat_GC
LUSSI Patrick,Lussi:Patrick,Candidat_GC
IVANOV Christo,Ivanov:Christo,Candidat_GC
FALQUET Marc,Falquet:Marc,Candidat_GC
MAENDLY Norbert,Maendly:Norbert,Candidat_GC
PFEFFER André,Pfeffer:Andre,Candidat_GC
CATELAIN Gilbert,Catelain:Gilbert,Candidat_GC
HULLIGER Patrick,Hulliger:Patrick,Candidat_GC
MICHAUD Eliane,Michaud:Eliane,Candidat_GC
SCHERB Peter,Scherb:Peter,Candidat_GC
STARK Riccardo,Stark:Riccardo,Candidat_GC
GUINCHARD Damien,Guinchard:Damien,Candidat_GC
BISOL Walter,Bisol:Walter,Candidat_GC
MASÉ Zora,Mase:Zora,Candidat_GC
VELEN François,Velen:François,Candidat_GC
KNÖRR Stephen,Knorr:Stephen,Candidat_GC
RUBELI Pascal,Rubeli:Pascal,Candidat_GC
LYON Didier,Lyon:Didier,Candidat_GC
PERRENOUD Philippe,Perrenoud:Philippe,Candidat_GC
DUTRUIT André,Dutruit:Andre,Candidat_GC
ALTENBACH Pascal,Altenbach:Pascal,Candidat_GC
QUEFFÉLEC Philippe,Queffelec:Philippe,Candidat_GC
LAPORTE Claude,Laporte:Claude,Candidat_GC
CONTI Virna,Conti:Virna,Candidat_GC
PAREL Loïc,Parel:Loic,Candidat_GC
HEDDI Leila,Heddi:Leila,Candidat_GC
GOMES DE ALMEIDA José,Gomes:De:Almeida:Jose,Candidat_GC
BERTINAT Marie-Agnès,Bertinat:Marie Agnes,Candidat_GC
MOUNLA Alexandre,Mounla:Alexandre,Candidat_GC
DOURNOW David,Dournow:David,Candidat_GC
CHAUSSIVERT Patrice,Chaussivert:Patrice,Candidat_GC
KNOLL Tatiana,Knoll:Tatiana,Candidat_GC
RIME Alexandre,Rime:Alexandre,Candidat_GC
DESYATKINA DZODZIEV Viktoriya,Desyatkina:Dzodziev:Viktoriya,Candidat_GC
THOMAS Sébastien,Thomas:Sebastien,Candidat_GC
ROMANENS Mathieu,Romanens:Mathieu,Candidat_GC
SCHWEIZER Adriana,Schweizer:Adriana,Candidat_GC
KHACHATRYAN Gohar,Khachatryan:Gohar,Candidat_GC
PRANDO Stéphane,Prando:Stephane,Candidat_GC
BORER Maria Da Conceicao,Borer:Maria:Da:Conceicao,Candidat_GC
AKABA El Mostafa,Akaba:El:Mostafa,Candidat_GC
LÉGUILLON Angèle,Leguillon:Angele,Candidat_GC
BONTOUX Caroline,Bontoux:Caroline,Candidat_GC
HONEGGER HELLER Manuela,Honegger:Heller:Manuela,Candidat_GC
OCHARAN ROBLES RAPAZ Eva,Ocharan:Robles:Rapaz:Eva,Candidat_GC
DA CRUZ PEDRO Anna,Da:Cruz:Pedro:Anna,Candidat_GC
BORCARD Anne,Borcard:Anne,Candidat_GC
MÜLLER Fabienne,Muller:Fabienne,Candidat_GC
YOL Diana,Yol:Diana,Candidat_GC
RANDEGGER Alice,Randegger:Alice,Candidat_GC
DEPRAETERE Graciela,Depraetere:Graciela,Candidat_GC
OZDEMIR Elcim,Ozdemir:Elcim,Candidat_GC
RICCIARDI WERLEN Jacqueline,Ricciardi:Werlen:Jacqueline,Candidat_GC
ROSSIER FAHRION Cerise,Rossier:Fahrion:Cerise,Candidat_GC
BOSELLI GAUTHEY Monica,Boselli:Gauthey:Monica,Candidat_GC
LAVRADOR DIAS Claudia,Lavrador:Dias:Claudia,Candidat_GC
JAUCH Caroline,Jauch:Caroline,Candidat_GC
GRANGE Marie-Florence,Grange:Marie Florence,Candidat_GC
MAZZONI Nikita,Mazzoni:Nikita,Candidat_GC
LANGER Valérie,Langer:Valerie,Candidat_GC
MAYORAL EDO Corinne,Mayoral:Edo:Corinne,Candidat_GC
THOMIAS LEDUC Diana,Thomias:Leduc:Diana,Candidat_GC
ORSINI Magali,Orsini:Magali,Candidat_CE_GC
GAUTHIER Pierre,Gauthier:Pierre,Candidat_CE_GC
ARMAND Catherine,Armand:Catherine,Candidat_GC
GUEX Stéphane,Guex:Stephane,Candidat_GC
HUMBERSET Corinne,Humberset:Corinne,Candidat_GC
RUCKTERSTUHL Jean-Claude,Ruckterstuhl:Jean Claude,Candidat_GC
LONGO Katrin,Longo:Katrin,Candidat_GC
GIROD Nicolas,Girod:Nicolas,Candidat_GC
KÜDERLI BERKANE Nicole,Kuderli:Berkane:Nicole,Candidat_GC
FLAKS Joël,Flaks:Joël,Candidat_GC
PERRIN Brigitte,Perrin:Brigitte,Candidat_GC
GOUDAL Renaud,Goudal:Renaud,Candidat_GC
MEYNET Danielle,Meynet:Danielle,Candidat_GC
MEYNET Leon,Meynet:Leon,Candidat_GC
TURNOWSKY Serge,Turnowsky:Serge,Candidat_GC
ZIMMERMANN Olivier,Zimmermann:Olivier,Candidat_GC
CHATELAIN Dimitri,Chatelain:Dimitri,Candidat_GC
STAUFFER Eric,Stauffer:Eric,Candidat_CE_GC
ZACHARIAS Ronald,Zacharias:Ronald,Candidat_CE_GC
SARAIVA MEDEIROS Carlos,Saraiva:Medeiros:Carlos,Candidat_GC
SPÜHLER Pascal,Spuhler:Pascal,Candidat_GC
GAETANINO Marco,Gaetanino:Marco,Candidat_GC
LE JEUNE GIACOBBI Cristina,Le:Jeune:Giacobbi:Cristina,Candidat_GC
WALTHER Thierry,Walther:Thierry,Candidat_GC
HÜSSY COPPEX Viviana Ximena Anghela,Hussy:Coppex:Viviana:Ximena:Anghela,Candidat_GC
LOEILLET-ROUZIER Anne,Loeillet Rouzier:Anne,Candidat_GC
FUSCO Gerardo,Fusco:Gerardo,Candidat_GC
GAMBERONI Dominique,Gamberoni:Dominique,Candidat_GC
NOBS Cyril,Nobs:Cyril,Candidat_GC
NOËL Daniel,Noël:Daniel,Candidat_GC
SANTI Michel,Santi:Michel,Candidat_GC
PICOT Jérôme,Picot:Jerome,Candidat_GC
