text,choices,source,createdOn,userId,sessionId,botId,channelType,channelId,payload
menu,,USER,2018-05-05T12:10:44.603Z,test-gbarthelet-1525522175,test-gbarthelet-1525522175,6F5D8925-6B9F-4C84-9F9E-61DAB4D183FA,webhook,0EEFDC1E-A899-4010-8649-75D2C6C40E52,"{""text"":""menu"",""type"":""text""}"
Comment puis-je vous aider?,r?sultats|par candidat|participation,BOT,2018-05-05T12:10:44.817Z,test-gbarthelet-1525522175,test-gbarthelet-1525522175,6F5D8925-6B9F-4C84-9F9E-61DAB4D183FA,webhook,0EEFDC1E-A899-4010-8649-75D2C6C40E52,"{""text"":""Comment puis-je vous aider?"",""type"":""text"",""actions"":[{""postback"":{""action"":""resultsStart"",""state"":""contextMenu""},""label"":""r?sultats"",""type"":""postback""},{""postback"":{""action"":""resultsByCandidateStart"",""state"":""contextMenu""},""label"":""par candidat"",""type"":""postback""},{""postback"":{""action"":""participationRateStart"",""state"":""contextMenu""},""label"":""participation"",""type"":""postback""}]}"
R?sultats,,USER,2018-05-06T15:50:52.737Z,1218253654942465,1218253654942465,6F5D8925-6B9F-4C84-9F9E-61DAB4D183FA,webhook,16151D41-C5E3-4793-B32A-48205588A4B3,"{""text"":""R?sultats"",""type"":""text""}"
Your session has expired.  Please start again.,,BOT,2018-05-06T15:50:53.226Z,1218253654942465,1218253654942465,6F5D8925-6B9F-4C84-9F9E-61DAB4D183FA,webhook,16151D41-C5E3-4793-B32A-48205588A4B3,"{""text"":""Your session has expired.  Please start again."",""type"":""text"",""channelExtensions"":{""test"":{""debugInfo"":{""variables"":{""profile.updatedOn"":""2018-05-06T11:02:34.664Z"",""suffrages"":null,""outputMsgFirstSixth"":""POGGIA Mauro: 48806\nDAL BUSCO Serge: 47896\nHODGERS Antonio: 46732\nFONTANET Nathalie: 43485\nEMERY-TORRACINTA Anne: 42252\nAPOTH?LOZ Thierry: 42071\n"",""ordre"":null,""iResult"":{""timeStamp"":1525610770668,""intentMatches"":{""summary"":[{""score"":0.9742,""intent"":""IntentResultatElections""},{""score"":0.0121,""intent"":""IntentResultatsGCParListe""},{""score"":0.0101,""intent"":""IntentResultatParCandidat""},{""score"":7.0E-4,""intent"":""IntentResultatParCandidatParLocalDeVote""},{""score"":6.0E-4,""intent"":""IntentTauxParticipation""},{""score"":4.0E-4,""intent"":""IntentMenu""},{""score"":3.0E-4,""intent"":""IntentWelcome""},{""score"":3.0E-4,""intent"":""IntentListeNonElusParListe""},{""score"":3.0E-4,""intent"":""IntentDebug""},{""score"":2.0E-4,""intent"":""IntentThank""},{""score"":2.0E-4,""intent"":""IntentNbreFoisCandidatBiffe""},{""score"":2.0E-4,""intent"":""IntentInformationsGenerales""},{""score"":2.0E-4,""intent"":""IntentResultatPierreMaudet""},{""score"":1.0E-4,""intent"":""IntentDonnerDuFeedback""},{""score"":1.0E-4,""intent"":""IntentJoke""},{""score"":0,""intent"":""IntentListeElusParListe""},{""score"":0,""intent"":""IntentTauxParticipationParLocal""}],""detail"":{""final_norm"":[{""sentence"":[],""score"":0.9742,""intent"":""IntentResultatElections""},{""sentence"":[],""score"":0.0121,""intent"":""IntentResultatsGCParListe""},{""sentence"":[],""score"":0.0101,""intent"":""IntentResultatParCandidat""},{""sentence"":[],""score"":7.0E-4,""intent"":""IntentResultatParCandidatParLocalDeVote""},{""sentence"":[],""score"":6.0E-4,""intent"":""IntentTauxParticipation""},{""sentence"":[],""score"":4.0E-4,""intent"":""IntentMenu""},{""sentence"":[],""score"":3.0E-4,""intent"":""IntentWelcome""},{""sentence"":[],""score"":3.0E-4,""intent"":""IntentListeNonElusParListe""},{""sentence"":[],""score"":3.0E-4,""intent"":""IntentDebug""},{""sentence"":[],""score"":2.0E-4,""intent"":""IntentThank""},{""sentence"":[],""score"":2.0E-4,""intent"":""IntentNbreFoisCandidatBiffe""},{""sentence"":[],""score"":2.0E-4,""intent"":""IntentInformationsGenerales""},{""sentence"":[],""score"":2.0E-4,""intent"":""IntentResultatPierreMaudet""},{""sentence"":[],""score"":1.0E-4,""intent"":""IntentDonnerDuFeedback""},{""sentence"":[],""score"":1.0E-4,""intent"":""IntentJoke""},{""sentence"":[],""score"":0,""intent"":""IntentListeElusParListe""},{""sentence"":[],""score"":0,""intent"":""IntentTauxParticipationParLocal""}]}},""trainingDataUnit"":null,""botName"":""LandmanbotV2_2"",""appId"":""6F5D8925-6B9F-4C84-9F9E-61DAB4D183FA"",""query"":""r?sultats"",""entityMatches"":{}},""outputMsgRestOfThem"":""BARTHASSAT Luc: 32701\nHALLER Jocelyne: 25171\nNIDEGGER Yves: 23001\nCRETEGNY Willy: 19246\nAYMON Paul (dit Paul Sierre): 8946\n"",""feedback"":null,""noLot"":2343,""timeStampLocal"":null,""electionStateNb"":6,""profile.firstName"":""User 1218253654942465"",""candidateOrderCanton"":null,""resultType"":""CE"",""debugJSBackend"":null,""comuneName"":null,""outputMsgElectedCandidatesCanton"":null,""displayResults"":true,""timeStampPartecipation"":null,""profile.lastName"":""Unspecified"",""percentagePartecipation"":null,""votersPartecipation"":null,""candidateEqualityCanton"":null,""timeStampElectedCandidatesCanton"":""R?sultats anticip?s du 06.05.18 ? 12:26"",""timeStampCandidateCanton"":null,""candidateVotesCanton"":null,""profile.locale"":""en_US"",""elu"":null,""electionStateText"":null,""elected"":null,""profile.timezoneOffset"":0,""candidateName"":null,""localPercentage"":null,""listName"":null,""candidateElectedCanton"":null,""electedCandidatesCanton"":null},""currentDialogState"":""System.ExpiredSessionHandler"",""executedStates"":[""System.ExpiredSessionHandler""]}}}}"
R?sultats,,USER,2018-05-06T15:51:07.915Z,1218253654942465,1218253654942465,6F5D8925-6B9F-4C84-9F9E-61DAB4D183FA,webhook,16151D41-C5E3-4793-B32A-48205588A4B3,"{""text"":""R?sultats"",""type"":""text""}"
"Ouups il semble y avoir eu un probl?me. Tous mes boulons ne sont pas encore bien serr?s [:] ... ",,BOT,2018-05-06T15:51:15.306Z,1218253654942465,1218253654942465,6F5D8925-6B9F-4C84-9F9E-61DAB4D183FA,webhook,16151D41-C5E3-4793-B32A-48205588A4B3,"{""text"":""Ouups il semble y avoir eu un probl?me. Tous mes boulons ne sont pas encore bien serr?s [:] ... "",""type"":""text""}"
Si vous avez besoin d'aide demandez-moi le 'menu' :-),,BOT,2018-05-06T15:51:15.306Z,1218253654942465,1218253654942465,6F5D8925-6B9F-4C84-9F9E-61DAB4D183FA,webhook,16151D41-C5E3-4793-B32A-48205588A4B3,"{""text"":""Si vous avez besoin d'aide demandez-moi le 'menu' :-)"",""type"":""text""}"
Comment puis-je vous aider?,r?sultats|par candidat|participation,BOT,2018-05-06T15:51:15.306Z,1218253654942465,1218253654942465,6F5D8925-6B9F-4C84-9F9E-61DAB4D183FA,webhook,16151D41-C5E3-4793-B32A-48205588A4B3,"{""text"":""Comment puis-je vous aider?"",""type"":""text"",""actions"":[{""postback"":{""action"":""resultsStart"",""state"":""contextMenu""},""label"":""r?sultats"",""type"":""postback""},{""postback"":{""action"":""resultsByCandidateStart"",""state"":""contextMenu""},""label"":""par candidat"",""type"":""postback""},{""postback"":{""action"":""participationRateStart"",""state"":""contextMenu""},""label"":""participation"",""type"":""postback""}]}"
r?sultats,,USER,2018-05-06T15:51:25.560Z,1218253654942465,1218253654942465,6F5D8925-6B9F-4C84-9F9E-61DAB4D183FA,webhook,16151D41-C5E3-4793-B32A-48205588A4B3,"{""text"":""r?sultats"",""type"":""text""}"
"Ouups il semble y avoir eu un probl?me. Tous mes boulons ne sont pas encore bien serr?s [:] ... ",,BOT,2018-05-06T15:51:25.573Z,1218253654942465,1218253654942465,6F5D8925-6B9F-4C84-9F9E-61DAB4D183FA,webhook,16151D41-C5E3-4793-B32A-48205588A4B3,"{""text"":""Ouups il semble y avoir eu un probl?me. Tous mes boulons ne sont pas encore bien serr?s [:] ... "",""type"":""text""}"
Si vous avez besoin d'aide demandez-moi le 'menu' :-),,BOT,2018-05-06T15:51:25.573Z,1218253654942465,1218253654942465,6F5D8925-6B9F-4C84-9F9E-61DAB4D183FA,webhook,16151D41-C5E3-4793-B32A-48205588A4B3,"{""text"":""Si vous avez besoin d'aide demandez-moi le 'menu' :-)"",""type"":""text""}"
Comment puis-je vous aider?,r?sultats|par candidat|participation,BOT,2018-05-06T15:51:25.573Z,1218253654942465,1218253654942465,6F5D8925-6B9F-4C84-9F9E-61DAB4D183FA,webhook,16151D41-C5E3-4793-B32A-48205588A4B3,"{""text"":""Comment puis-je vous aider?"",""type"":""text"",""actions"":[{""postback"":{""action"":""resultsStart"",""state"":""contextMenu""},""label"":""r?sultats"",""type"":""postback""},{""postback"":{""action"":""resultsByCandidateStart"",""state"":""contextMenu""},""label"":""par candidat"",""type"":""postback""},{""postback"":{""action"":""participationRateStart"",""state"":""contextMenu""},""label"":""participation"",""type"":""postback""}]}"
r?sultats,,USER,2018-05-06T15:51:33.354Z,1218253654942465,1218253654942465,6F5D8925-6B9F-4C84-9F9E-61DAB4D183FA,webhook,16151D41-C5E3-4793-B32A-48205588A4B3,"{""text"":""r?sultats"",""type"":""text""}"
"Ouups il semble y avoir eu un probl?me. Tous mes boulons ne sont pas encore bien serr?s [:] ... ",,BOT,2018-05-06T15:51:33.367Z,1218253654942465,1218253654942465,6F5D8925-6B9F-4C84-9F9E-61DAB4D183FA,webhook,16151D41-C5E3-4793-B32A-48205588A4B3,"{""text"":""Ouups il semble y avoir eu un probl?me. Tous mes boulons ne sont pas encore bien serr?s [:] ... "",""type"":""text""}"
Si vous avez besoin d'aide demandez-moi le 'menu' :-),,BOT,2018-05-06T15:51:33.367Z,1218253654942465,1218253654942465,6F5D8925-6B9F-4C84-9F9E-61DAB4D183FA,webhook,16151D41-C5E3-4793-B32A-48205588A4B3,"{""text"":""Si vous avez besoin d'aide demandez-moi le 'menu' :-)"",""type"":""text""}"
Comment puis-je vous aider?,r?sultats|par candidat|participation,BOT,2018-05-06T15:51:33.367Z,1218253654942465,1218253654942465,6F5D8925-6B9F-4C84-9F9E-61DAB4D183FA,webhook,16151D41-C5E3-4793-B32A-48205588A4B3,"{""text"":""Comment puis-je vous aider?"",""type"":""text"",""actions"":[{""postback"":{""action"":""resultsStart"",""state"":""contextMenu""},""label"":""r?sultats"",""type"":""postback""},{""postback"":{""action"":""resultsByCandidateStart"",""state"":""contextMenu""},""label"":""par candidat"",""type"":""postback""},{""postback"":{""action"":""participationRateStart"",""state"":""contextMenu""},""label"":""participation"",""type"":""postback""}]}"
par candidat,,USER,2018-05-06T15:51:43.546Z,1218253654942465,1218253654942465,6F5D8925-6B9F-4C84-9F9E-61DAB4D183FA,webhook,16151D41-C5E3-4793-B32A-48205588A4B3,"{""text"":""par candidat"",""type"":""text""}"
Merci de me donner le nom du candidat ?,,BOT,2018-05-06T15:51:43.556Z,1218253654942465,1218253654942465,6F5D8925-6B9F-4C84-9F9E-61DAB4D183FA,webhook,16151D41-C5E3-4793-B32A-48205588A4B3,"{""text"":""Merci de me donner le nom du candidat ?"",""type"":""text""}"
Apotheloz,,USER,2018-05-06T15:51:57.875Z,1218253654942465,1218253654942465,6F5D8925-6B9F-4C84-9F9E-61DAB4D183FA,webhook,16151D41-C5E3-4793-B32A-48205588A4B3,"{""text"":""Apotheloz"",""type"":""text""}"
"Selon les r?sultats d?finitifs du 06.05.18 ? 16:00, APOTH?LOZ Thierry obtient 44884 suffrages ? l'?lection du Conseil d'Etat.",,BOT,2018-05-06T15:52:00.305Z,1218253654942465,1218253654942465,6F5D8925-6B9F-4C84-9F9E-61DAB4D183FA,webhook,16151D41-C5E3-4793-B32A-48205588A4B3,"{""text"":""Selon les r?sultats d?finitifs du 06.05.18 ? 16:00, APOTH?LOZ Thierry obtient 44884 suffrages ? l'?lection du Conseil d'Etat."",""type"":""text""}"
APOTH?LOZ Thierry est ?lu(e).,,BOT,2018-05-06T15:52:00.313Z,1218253654942465,1218253654942465,6F5D8925-6B9F-4C84-9F9E-61DAB4D183FA,webhook,16151D41-C5E3-4793-B32A-48205588A4B3,"{""text"":""APOTH?LOZ Thierry est ?lu(e)."",""type"":""text""}"
R?sultats,,USER,2018-05-06T15:52:15.765Z,1218253654942465,1218253654942465,6F5D8925-6B9F-4C84-9F9E-61DAB4D183FA,webhook,16151D41-C5E3-4793-B32A-48205588A4B3,"{""text"":""R?sultats"",""type"":""text""}"
"Les r?sultats d?finitifs du 06.05.18 ? 16:00 de l'?lection au Conseil d'Etat sont: 
(par ordre de suffrages)

POGGIA Mauro: 51015 - ?lu(e)
DAL BUSCO Serge: 50141 - ?lu(e)
HODGERS Antonio: 49684 - ?lu(e)
FONTANET Nathalie: 45522 - ?lu(e)
EMERY-TORRACINTA Anne: 44905 - ?lu(e)
APOTH?LOZ Thierry: 44884 - ?lu(e)
",,BOT,2018-05-06T15:52:18.741Z,1218253654942465,1218253654942465,6F5D8925-6B9F-4C84-9F9E-61DAB4D183FA,webhook,16151D41-C5E3-4793-B32A-48205588A4B3,"{""text"":""Les r?sultats d?finitifs du 06.05.18 ? 16:00 de l'?lection au Conseil d'Etat sont: \n(par ordre de suffrages)\n\nPOGGIA Mauro: 51015 - ?lu(e)\nDAL BUSCO Serge: 50141 - ?lu(e)\nHODGERS Antonio: 49684 - ?lu(e)\nFONTANET Nathalie: 45522 - ?lu(e)\nEMERY-TORRACINTA Anne: 44905 - ?lu(e)\nAPOTH?LOZ Thierry: 44884 - ?lu(e)\n"",""type"":""text""}"
"Viennent ensuite :
BARTHASSAT Luc: 34357
HALLER Jocelyne: 27121
NIDEGGER Yves: 23940
CRETEGNY Willy: 20600
AYMON Paul (dit Paul Sierre): 9428
",,BOT,2018-05-06T15:52:18.742Z,1218253654942465,1218253654942465,6F5D8925-6B9F-4C84-9F9E-61DAB4D183FA,webhook,16151D41-C5E3-4793-B32A-48205588A4B3,"{""text"":""Viennent ensuite :\nBARTHASSAT Luc: 34357\nHALLER Jocelyne: 27121\nNIDEGGER Yves: 23940\nCRETEGNY Willy: 20600\nAYMON Paul (dit Paul Sierre): 9428\n"",""type"":""text""}"
R?sultats,,USER,2018-05-06T11:02:34.651Z,1218253654942465,1218253654942465,6F5D8925-6B9F-4C84-9F9E-61DAB4D183FA,webhook,16151D41-C5E3-4793-B32A-48205588A4B3,"{""text"":""R?sultats"",""type"":""text""}"
"Les r?sultats anticip?s du 06.05.18 ? 12:26 de l'?lection au Conseil d'Etat sont: 
(par ordre de suffrages)

POGGIA Mauro: 48806
DAL BUSCO Serge: 47896
HODGERS Antonio: 46732
FONTANET Nathalie: 43485
EMERY-TORRACINTA Anne: 42252
APOTH?LOZ Thierry: 42071
",,BOT,2018-05-06T11:02:35.943Z,1218253654942465,1218253654942465,6F5D8925-6B9F-4C84-9F9E-61DAB4D183FA,webhook,16151D41-C5E3-4793-B32A-48205588A4B3,"{""text"":""Les r?sultats anticip?s du 06.05.18 ? 12:26 de l'?lection au Conseil d'Etat sont: \n(par ordre de suffrages)\n\nPOGGIA Mauro: 48806\nDAL BUSCO Serge: 47896\nHODGERS Antonio: 46732\nFONTANET Nathalie: 43485\nEMERY-TORRACINTA Anne: 42252\nAPOTH?LOZ Thierry: 42071\n"",""type"":""text""}"
"Viennent ensuite :
BARTHASSAT Luc: 32701
HALLER Jocelyne: 25171
NIDEGGER Yves: 23001
CRETEGNY Willy: 19246
AYMON Paul (dit Paul Sierre): 8946
",,BOT,2018-05-06T11:02:35.943Z,1218253654942465,1218253654942465,6F5D8925-6B9F-4C84-9F9E-61DAB4D183FA,webhook,16151D41-C5E3-4793-B32A-48205588A4B3,"{""text"":""Viennent ensuite :\nBARTHASSAT Luc: 32701\nHALLER Jocelyne: 25171\nNIDEGGER Yves: 23001\nCRETEGNY Willy: 19246\nAYMON Paul (dit Paul Sierre): 8946\n"",""type"":""text""}"
r?sultats,,USER,2018-05-06T12:45:46.176Z,1218253654942465,1218253654942465,6F5D8925-6B9F-4C84-9F9E-61DAB4D183FA,webhook,16151D41-C5E3-4793-B32A-48205588A4B3,"{""text"":""r?sultats"",""type"":""text""}"
Your session has expired.  Please start again.,,BOT,2018-05-06T12:45:47.140Z,1218253654942465,1218253654942465,6F5D8925-6B9F-4C84-9F9E-61DAB4D183FA,webhook,16151D41-C5E3-4793-B32A-48205588A4B3,"{""text"":""Your session has expired.  Please start again."",""type"":""text"",""channelExtensions"":{""test"":{""debugInfo"":{""variables"":{""profile.updatedOn"":""2018-05-06T11:02:34.664Z"",""suffrages"":null,""outputMsgFirstSixth"":""POGGIA Mauro: 48806\nDAL BUSCO Serge: 47896\nHODGERS Antonio: 46732\nFONTANET Nathalie: 43485\nEMERY-TORRACINTA Anne: 42252\nAPOTH?LOZ Thierry: 42071\n"",""ordre"":null,""iResult"":{""timeStamp"":1525604555700,""intentMatches"":{""summary"":[{""score"":0.9742,""intent"":""IntentResultatElections""},{""score"":0.0121,""intent"":""IntentResultatsGCParListe""},{""score"":0.0101,""intent"":""IntentResultatParCandidat""},{""score"":7.0E-4,""intent"":""IntentResultatParCandidatParLocalDeVote""},{""score"":6.0E-4,""intent"":""IntentTauxParticipation""},{""score"":4.0E-4,""intent"":""IntentMenu""},{""score"":3.0E-4,""intent"":""IntentWelcome""},{""score"":3.0E-4,""intent"":""IntentListeNonElusParListe""},{""score"":3.0E-4,""intent"":""IntentDebug""},{""score"":2.0E-4,""intent"":""IntentThank""},{""score"":2.0E-4,""intent"":""IntentNbreFoisCandidatBiffe""},{""score"":2.0E-4,""intent"":""IntentInformationsGenerales""},{""score"":2.0E-4,""intent"":""IntentResultatPierreMaudet""},{""score"":1.0E-4,""intent"":""IntentDonnerDuFeedback""},{""score"":1.0E-4,""intent"":""IntentJoke""},{""score"":0,""intent"":""IntentListeElusParListe""},{""score"":0,""intent"":""IntentTauxParticipationParLocal""}],""detail"":{""final_norm"":[{""sentence"":[],""score"":0.9742,""intent"":""IntentResultatElections""},{""sentence"":[],""score"":0.0121,""intent"":""IntentResultatsGCParListe""},{""sentence"":[],""score"":0.0101,""intent"":""IntentResultatParCandidat""},{""sentence"":[],""score"":7.0E-4,""intent"":""IntentResultatParCandidatParLocalDeVote""},{""sentence"":[],""score"":6.0E-4,""intent"":""IntentTauxParticipation""},{""sentence"":[],""score"":4.0E-4,""intent"":""IntentMenu""},{""sentence"":[],""score"":3.0E-4,""intent"":""IntentWelcome""},{""sentence"":[],""score"":3.0E-4,""intent"":""IntentListeNonElusParListe""},{""sentence"":[],""score"":3.0E-4,""intent"":""IntentDebug""},{""sentence"":[],""score"":2.0E-4,""intent"":""IntentThank""},{""sentence"":[],""score"":2.0E-4,""intent"":""IntentNbreFoisCandidatBiffe""},{""sentence"":[],""score"":2.0E-4,""intent"":""IntentInformationsGenerales""},{""sentence"":[],""score"":2.0E-4,""intent"":""IntentResultatPierreMaudet""},{""sentence"":[],""score"":1.0E-4,""intent"":""IntentDonnerDuFeedback""},{""sentence"":[],""score"":1.0E-4,""intent"":""IntentJoke""},{""sentence"":[],""score"":0,""intent"":""IntentListeElusParListe""},{""sentence"":[],""score"":0,""intent"":""IntentTauxParticipationParLocal""}]}},""trainingDataUnit"":null,""botName"":""LandmanbotV2_2"",""appId"":""6F5D8925-6B9F-4C84-9F9E-61DAB4D183FA"",""query"":""R?sultats"",""entityMatches"":{}},""outputMsgRestOfThem"":""BARTHASSAT Luc: 32701\nHALLER Jocelyne: 25171\nNIDEGGER Yves: 23001\nCRETEGNY Willy: 19246\nAYMON Paul (dit Paul Sierre): 8946\n"",""feedback"":null,""noLot"":2343,""timeStampLocal"":null,""electionStateNb"":6,""profile.firstName"":""User 1218253654942465"",""candidateOrderCanton"":null,""resultType"":""CE"",""debugJSBackend"":null,""comuneName"":null,""outputMsgElectedCandidatesCanton"":null,""displayResults"":true,""timeStampPartecipation"":null,""profile.lastName"":""Unspecified"",""percentagePartecipation"":null,""votersPartecipation"":null,""candidateEqualityCanton"":null,""timeStampElectedCandidatesCanton"":""R?sultats anticip?s du 06.05.18 ? 12:26"",""timeStampCandidateCanton"":null,""candidateVotesCanton"":null,""profile.locale"":""en_US"",""elu"":null,""electionStateText"":null,""elected"":null,""profile.timezoneOffset"":0,""candidateName"":null,""localPercentage"":null,""listName"":null,""candidateElectedCanton"":null,""electedCandidatesCanton"":null},""currentDialogState"":""System.ExpiredSessionHandler"",""executedStates"":[""System.ExpiredSessionHandler""]}}}}"
r?sultats,,USER,2018-05-06T12:46:05.849Z,1218253654942465,1218253654942465,6F5D8925-6B9F-4C84-9F9E-61DAB4D183FA,webhook,16151D41-C5E3-4793-B32A-48205588A4B3,"{""text"":""r?sultats"",""type"":""text""}"
"Les r?sultats anticip?s du 06.05.18 ? 12:26 de l'?lection au Conseil d'Etat sont: 
(par ordre de suffrages)

POGGIA Mauro: 48806
DAL BUSCO Serge: 47896
HODGERS Antonio: 46732
FONTANET Nathalie: 43485
EMERY-TORRACINTA Anne: 42252
APOTH?LOZ Thierry: 42071
",,BOT,2018-05-06T12:46:11.014Z,1218253654942465,1218253654942465,6F5D8925-6B9F-4C84-9F9E-61DAB4D183FA,webhook,16151D41-C5E3-4793-B32A-48205588A4B3,"{""text"":""Les r?sultats anticip?s du 06.05.18 ? 12:26 de l'?lection au Conseil d'Etat sont: \n(par ordre de suffrages)\n\nPOGGIA Mauro: 48806\nDAL BUSCO Serge: 47896\nHODGERS Antonio: 46732\nFONTANET Nathalie: 43485\nEMERY-TORRACINTA Anne: 42252\nAPOTH?LOZ Thierry: 42071\n"",""type"":""text""}"
"Viennent ensuite :
BARTHASSAT Luc: 32701
HALLER Jocelyne: 25171
NIDEGGER Yves: 23001
CRETEGNY Willy: 19246
AYMON Paul (dit Paul Sierre): 8946
",,BOT,2018-05-06T12:46:11.014Z,1218253654942465,1218253654942465,6F5D8925-6B9F-4C84-9F9E-61DAB4D183FA,webhook,16151D41-C5E3-4793-B32A-48205588A4B3,"{""text"":""Viennent ensuite :\nBARTHASSAT Luc: 32701\nHALLER Jocelyne: 25171\nNIDEGGER Yves: 23001\nCRETEGNY Willy: 19246\nAYMON Paul (dit Paul Sierre): 8946\n"",""type"":""text""}"
R?sultats,,USER,2018-05-06T11:27:51.698Z,1299209170207367,1299209170207367,6F5D8925-6B9F-4C84-9F9E-61DAB4D183FA,webhook,16151D41-C5E3-4793-B32A-48205588A4B3,"{""text"":""R?sultats"",""type"":""text""}"
